"filename", "language", "JavaScript", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/MenuPage/MenuItemModal/MenuItemModal.module.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 4, 49
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/MenuPage/MenuPageContainer/MenuPageContainer.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/MenuPage/MenuPageContainer/MenuPageContainer.module.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/PasswordPage/PasswordPageContainer/PasswordPageContainer.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/PasswordPage/PasswordPageContainer/PasswordPageContainer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/RegisterPage/RegisterPageContainer/RegisterPageContainer.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 2, 87
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/RegisterPage/RegisterPageContainer/RegisterPageContainer.module.css", "CSS", 0, 0, 90, 0, 0, 0, 0, 5, 95
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Dropdown/Dropdown.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Dropdown/Dropdown.module.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 4, 45
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Footer/Footer.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 2, 92
